NOME_MUN,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM,ANO
Ibiraci,0.32916666666666666,0.22974806201550388,0.10794573643410853,0.020348837209302327,0.007267441860465116,2010
Ibirité,0.2788303531901164,0.2418455628006093,0.08930675090604857,0.009251825228294227,0.0016732822594562958,2010
Ibitiúra de Minas,0.44317032040472176,0.19561551433389546,0.08026981450252951,0.009780775716694773,0.002023608768971332,2010
Ibituruna,0.45307978503513846,0.1537825547747003,0.05704836709384043,0.011161637040099214,0.0028937577511368336,2010
Icaraí de Minas,0.43770436351336117,0.08749577178937873,0.027849813958732664,0.004171834479648213,0.0020295410982072385,2010
Igarapé,0.28393380099434723,0.20605462099026084,0.11315807396308657,0.021623646393788734,0.005176053939930532,2010
Igaratinga,0.3122700164953686,0.24895317853064333,0.10963075751808146,0.012308082730617943,0.0024108615657911434,2010
Iguatama,0.35114717403469503,0.20872971460548406,0.10422495803021824,0.021684387241186345,0.006575265808617795,2010
Ijaci,0.29870646766169157,0.19323383084577114,0.07860696517412935,0.015124378109452736,0.003383084577114428,2010
Ilicínea,0.47690742624618515,0.1676500508646999,0.05310274669379451,0.009359104781281791,0.0021363173957273654,2010
Imbé de Minas,0.5042910447761194,0.08395522388059702,0.029664179104477613,0.0033582089552238806,0.0009328358208955224,2010
Inconfidentes,0.4508236829228511,0.16865111727287554,0.06899363888435818,0.018430924808351002,0.004403849290490948,2010
Indaiabira,0.4640786082474227,0.0895618556701031,0.021746134020618556,0.002577319587628866,0.0011275773195876288,2010
Indianópolis,0.30162368672397327,0.22731614135625597,0.089207258834766,0.02005730659025788,0.0028653295128939827,2010
Ingaí,0.3866608544027899,0.22231909328683522,0.06625980819529206,0.017436791630340016,0.010897994768962511,2010
Inhapim,0.4274728948751015,0.10779958924392224,0.04833548263839137,0.013898839375268663,0.004441897119931222,2010
Inhaúma,0.37421827718378053,0.19891063143030058,0.061529150695985475,0.012709299979826508,0.0044381682469235425,2010
Inimutaba,0.4460134320647494,0.13862579645255727,0.05028413983123816,0.0074048562080247975,0.0006888238333046323,2010
Ipaba,0.3327571305099395,0.17566983578219533,0.08354940939210602,0.009435321233074043,0.00108038029386344,2010
Ipanema,0.44639326487658654,0.12475285413610562,0.05931500733465144,0.016072453600357167,0.005038586644556413,2010
Ipatinga,0.21889883971442098,0.20798191461612034,0.14555256064690028,0.04567235699311171,0.014414205528021718,2010
Ipiaçu,0.34450963956412406,0.20061469684269348,0.08270466610785135,0.010617490919251188,0.004191114836546521,2010
Ipuiúna,0.3658243080625752,0.19193742478941034,0.09807460890493382,0.018892900120336942,0.006016847172081829,2010
Iraí de Minas,0.4,0.18853503184713377,0.0908098271155596,0.018744313011828936,0.009463148316651501,2010
Itabira,0.29387888156303565,0.1775976108604898,0.12423104829805356,0.03463831666614089,0.010315782832266002,2010
Itabirinha,0.46489501312335957,0.10925196850393701,0.039916885389326334,0.009514435695538058,0.004374453193350831,2010
Itabirito,0.24284804483505287,0.23589351674945866,0.1503757483123169,0.030875047764615974,0.008661317029677748,2010
Itacambira,0.3501991098617943,0.10517685640665261,0.02881236823612087,0.005153431717029749,0.00023424689622862497,2010
Itacarambi,0.3866989954970558,0.0970557672324212,0.0397644613785937,0.005611361274679598,0.002009005888465535,2010
Itaguara,0.4016991411949395,0.21202327084680025,0.09012835903592206,0.019577061593868315,0.006187090220703666,2010
Itaipé,0.4610835357482311,0.09399091773154504,0.030415038546837046,0.004541134227479143,0.0010560777273207309,2010
Itajubá,0.23566557211417025,0.21381662035867643,0.13209143723162414,0.046463753473099265,0.01914624905279111,2010
